Temperatura,Humedad,Fecha,Estado
25.5,60,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
26.2,58,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Sat Dec 16 2023 02:42:45 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
